Secure Flash drive	secure_flash_drive
SilencerCo Omega 45k .45 ACP sound suppressor	silencerco_omega_45k_.45_acp_sound_suppressor
Sig-Sauer "SRD" 7.62x51 Sound Suppressor	sig-sauer_srd_7.62x51_sound_suppressor
Sig-Sauer SRD QD 7.62x51 Sound Suppressor	sig-sauer_srd_qd_7.62x51_sound_suppressor
SIG MCX Flip Up sight Rearsight	sig_mcx_flip_up_sight_rearsight
Cultist's knife	cultist's_knife
Antidote xTG-12	antidote_xtg-12
Combat stimulant injector SJ9 TGLabs	combat_stimulant_injector_sj9_tglabs
Magpul RVG grip FDE	magpul_rvg_grip_fde
MVF001 A3 Vertical Grip KeyMod black	mvf001_a3_vertical_grip_keymod_black
Sig Sauer Vertical Foregrip Keymod Black	sig_sauer_vertical_foregrip_keymod_black
SIG MCX Gas Block	sig_mcx_gas_block
Mk-18 Gas Block	mk-18_gas_block
3-prong SIG Flash hider 7.62x51	3-prong_sig_flash_hider_7.62x51
SIG micro brake muzzle brake 7.62x51	sig_micro_brake_muzzle_brake_7.62x51
Kriss Vector .45 ACP Flash hider	kriss_vector_.45_acp_flash_hider
SilencerCo AC-858 ASR .338 LM Muzzle brake	silencerco_ac-858_asr_.338_lm_muzzle_brake
KRISS Vector 9x19 Flash hider	kriss_vector_9x19_flash_hider
SIG Two Port brake muzzle brake 7.62x51	sig_two_port_brake_muzzle_brake_7.62x51
SIG Taper-LOK Muzzle Adapter	sig_taper-lok_muzzle_adapter
Vector 9x19 thread protection cap	vector_9x19_thread_protection_cap
Direct Thread Mount adapter for Silencerco Omega 45k	direct_thread_mount_adapter_for_silencerco_omega_45k
Piston Mount adapter for Silencerco Omega 45k	piston_mount_adapter_for_silencerco_omega_45k
Kriss Vector .45 ACP thread protection cap	kriss_vector_.45_acp__thread_protection_cap
SIG MCX Folding sight Frontsight	sig_mcx_folding_sight_frontsight
Kriss "Defiance Low Profile Flip Up" Frontsight	kriss_defiance_low_profile_flip_up_frontsight
KRISS Defiance Low Profile Flip-Up rear sight	kriss_defiance_low_profile_flip-up_rear_sight
Sig-Sauer charging handle for MCX	sig-sauer_charging_handle_for_mcx
Magex G30 magazine for Glock .45 ACP	magex_g30_magazine_for_glock_.45_acp
Glock .45 ACP magazine	glock_.45_acp_magazine
Standard UMP 25-round .45 ACP magazine	standard_ump_25-round_.45_acp_magazine
Sword Int. Mk-18 .338 LM 10-round magazine	sword_int._mk-18_.338_lm_10-round_magazine
KRISS Vector Bottom rail	kriss_vector_bottom_rail
HK UMP Bottom rail	hk_ump_bottom_rail
KRISS Vector Side rail	kriss_vector_side_rail
KRISS Mk.5 Modular rail for Vector	kriss_mk.5_modular_rail_for_vector
HK UMP Side rail	hk_ump_side_rail
B5 Precision stock	b5_precision_stock
Polymer stock for UMP	polymer_stock_for_ump
KRISS Vector non folding stock adapter	kriss_vector_non_folding_stock_adapter
Kriss Vector Pistol Sling Adapter	kriss_vector_pistol_sling_adapter
KRISS Defiance DS150 stock	kriss_defiance_ds150_fde_stock
MPX stock	sig_sauer_thin_lightweight_mcx_mpx_stock
KRISS Defiance DS150 stock	kriss_defiance_ds150_stock
KRISSVector Gen.2 folding stock	krissvector_gen.2_folding_stock
MPX stock	sig_sauer_telescoping_mcx_mpx_stock
171mm barrel for MCX and compatible .300 BLK	171mm_barrel_for_mcx_and_compatible_.300_blk
229mm barrel for MCX and compatible .300 BLK	229mm_barrel_for_mcx_and_compatible_.300_blk
24" barrel for Mk-18 .338 LM	24_barrel_for_mk-18_.338_lm
5" barrel for Vector 9x19	5_barrel_for_vector_9x19
6" Vector barrel .45 ACP	6_vector_barrel_.45_acp
8" barrel for UMP .45 ACP	8_barrel_for_ump_.45_acp
5" Vector barrel .45 ACP	5_vector_barrel_.45_acp
6" barrel for Vector 9x19	6_barrel_for_vector_9x19
SIG 12" keymod foregrip for MCX	sig_12_keymod_foregrip_for_mcx
Sword int. 18 inch handguard for Mk-18	sword_int._18_inch_handguard_for_mk-18
SIG 8" keymod foregrip for MCX	sig_8_keymod_foregrip_for_mcx
SIG MCX pistol grip	sig_mcx_pistol_grip
Upper receiver of the first generation Sig-Sauer MCX	upper_receiver_of_the_first_generation_sig-sauer_mcx
Sword Int. Mk-18 mod 1 Upper receiver	sword_int._mk-18_mod_1_upper_receiver
Smoke balaclava	smoke_balaclava
30 pcs. 5.45x39 T gs ammo pack	30_pcs._5.45x39_t_gs_ammo_pack
16 pcs. 9x18 PM P gzh ammo box	16_pcs._9x18_pm_p_gzh_ammo_box
16 pcs. 9x18 PM PSO gzh ammo box	16_pcs._9x18_pm_pso_gzh_ammo_box
16 pcs. 9x18 PM PRS gs ammo box	16_pcs._9x18_pm_prs_gs_ammo_box
16 pcs. 9x18 PM PSV ammo box	16_pcs._9x18_pm_psv_ammo_box
16 pcs. 9x18 PM RG028 gzh ammo box	16_pcs._9x18_pm_rg028_gzh_ammo_box
120 pcs. 5.45x39 PS gs ammo pack	120_pcs._5.45x39_ps_gs_ammo_pack
16 pcs. 9x18 PM PPT gzh ammo box	16_pcs._9x18_pm_ppt_gzh_ammo_box
30 pcs. 5.45x39 US gs ammo pack	30_pcs._5.45x39_us_gs_ammo_pack
30 pcs. 5.45x39 FMJ ammo box	30_pcs._5.45x39_fmj_ammo_box
30 pcs. 5.45x39 HP ammo box	30_pcs._5.45x39_hp_ammo_box
120 pcs. 5.45x39 T gs ammo pack	120_pcs._5.45x39_t_gs_ammo_pack
30 pcs. 5.45x39 SP ammo box	30_pcs._5.45x39_sp_ammo_box
120 pcs. 5.45x39 BP gs ammo pack	120_pcs._5.45x39_bp_gs_ammo_pack
120 pcs. 5.45x39 BS gs ammo pack	120_pcs._5.45x39_bs_gs_ammo_pack
120 pcs. 5.45x39 BP gs ammo pack	120_pcs._5.45x39_bp_gs_ammo_pack_2
120 pcs. 5.45x39 BS gs ammo pack	120_pcs._5.45x39_bs_gs_ammo_pack_2
120 pcs. 5.45x39 T gs ammo pack	120_pcs._5.45x39_t_gs_ammo_pack_2
120 pcs. 5.45x39 BT gs ammo pack	120_pcs._5.45x39_bt_gs_ammo_pack_2
120 pcs. 5.45x39 PRS gs ammo pack	120_pcs._5.45x39_prs_gs_ammo_pack_2
16 pcs. 9x18 PM PS gs PPO ammo box	16_pcs._9x18_pm_ps_gs_ppo_ammo_box
120 pcs. 5.45x39 PP gs ammo pack	120_pcs._5.45x39_pp_gs_ammo_pack
120 pcs. 5.45x39 PS gs ammo pack	120_pcs._5.45x39_ps_gs_ammo_pack_2
120 pcs. 5.45x39 US gs ammo pack	120_pcs._5.45x39_us_gs_ammo_pack_2
Rivals 2020 armband	rivals_2020_armband
Rivals 2020 cap	rivals_2020_cap
Rivals 2020 beanie	rivals_2020_beanie
Roubles	roubles
Metal fuel tank	metal_fuel_tank_(0_100)
MF-UNTAR armor vest	mf-untar_armor_vest_(0_45)
Altyn face shield	altyn_face_shield_damaged
BNTI Gzhel-K armor	bnti_gzhel-k_armor_0_65
TP-200 TNT brick	tp-200_tnt_brick
Can of thermite	can_of_thermite
Ratchet wrench	ratchet_wrench
STM-9 9x19 muzzle brake	stm-9_9x19_muzzle_brake
PL-15 9x19mm sound suppressor	pl-15_9x19mm_sound_suppressor
Eberlestock G2 Gunslinger II backpack (dry earth)	eberlestock_g2_gunslinger_ii_backpack_(dry_earth)
Hazard4 Takedown sling backpack	hazard4_takedown_sling_backpack_(multicam)
Hazard4 Takedown sling backpack	hazard4_takedown_sling_backpack
Azimut SS Jhuk Chest Harness	azimut_ss_jhuk_chest_harness_(black)
CSA chest rig	csa_chest_rig
Umka М33-SET1 hunter's vest	umka_м33-set1_hunter's_vest
Azimut SS Jhuk Chest Harness	azimut_ss_jhuk_chest_harness_(surpat)
PL-15 9x19 pistol	pl-15_9x19_pistol
STM-9 Gen.2 9x19 carabine	stm-9_gen.2_9x19_carabine
LBT 6094A Slick Plate Carrier	lbt_6094a_slick_plate_carrier_(olive)
LBT 6094A Slick Plate Carrier	lbt_6094a_slick_plate_carrier_(tan)
Opsmen Earmor M32 headset	opsmen_earmor_m32_headset
Hemostatic tourniquet CAT	hemostatic_tourniquet_cat
AFAK personal tactical first aid kit	afak_personal_tactical_first_aid_kit
Emergency water ration	emergency_water_ration
UVSR Taiga-1	uvsr_taiga-1
GP-7 gasmask	gp-7_gasmask
Army cap	black_army_cap
Army cap	coyote_army_cap
Army cap	cadpat_army_cap
Army cap	flora_army_cap
Army cap	desert_army_cap
Army cap	ucp_army_cap
NPP KlASS Condor glasses	npp_klass_condor_glasses
5.56x45 mm Mk 318 Mod 0 (SOST)	5.56x45_mm_mk_318_mod_0_(sost)
5.56x45 mm SSA AP	5.56x45_mm_ssa_ap
7.62x39 mm MAI AP	7.62x39_mm_mai_ap
PL-15 Standard Frontsight	pl-15_standard_frontsight
PL-15 extended front sight	pl-15_extended_front_sight
PL-15 Standard Rear-sight	pl-15_standard_rear-sight
PL-15 extended rear sight	pl-15_extended_rear_sight
Magwell STM-9	magwell_stm-9
Magwell STM-9 Grey	magwell_stm-9_grey
MASP Ambi battle charging handle for AR-15	masp_ambi_battle_charging_handle_for_ar-15
PL-15 9x19 magazine, 16-round capacity	pl-15_9x19_magazine,_16-round_capacity
STM Arms buffer tube	stm_arms_buffer_tube
Fab Defence GL Core Stock	fab_defence_gl_core_stock
Regular barrel for PL-15 9x19	regular_barrel_for_pl-15_9x19
10.5" barrel for STM-9 9x19	10.5_barrel_for_stm-9_9x19
Threaded barrel for PL-15	threaded_barrel_for_pl-15
12" barrel for STM-9 9x19	12_barrel_for_stm-9_9x19
14" barrel for STM-9 9x19	14_barrel_for_stm-9_9x19
16" barrel for STM-9 9x19	16_barrel_for_stm-9_9x19
STM 12 inch M-LOK handguard for AR-15	stm_12_inch_m-lok_handguard_for_ar-15
STM 15 inch M-LOK handguard for AR-15	stm_15_inch_m-lok_handguard_for_ar-15
STM 9 inch M-LOK handguard for AR-15	stm_9_inch_m-lok_handguard_for_ar-15
DLG-123 pistol grip for AR-15 based systems	dlg-123_pistol_grip_for_ar-15_based_systems
PL-15 pistol slide	pl-15_pistol_slide
Upper receiver for STM-9 9x19 carbine	upper_receiver_for_stm-9_9x19_carbine
 VPO-209 366TKM carbine	vepr_akm___vpo-209_366tkm_carbine_not_func
Simonov Semi-Automatic Carbine SKS 7.62x39 Hunting Rifle Version	simonov_semi-automatic_carbine_sks_7.62x39_hunting_rifle_version_not_func
Simonov Semi-Automatic Carbine SKS 7.62x39	simonov_semi-automatic_carbine_sks_7.62x39_not_func
 VPO-136 7.62x39 carbine	vepr_km___vpo-136_7.62x39_carbine_not_func
VPO-101 7.62x51 carbine	vepr_hunter_vpo-101_7.62x51_carbine_not_func
AK-102 5.56x45 assault rifle	ak-102_5.56x45_assault_rifle_not_func
AK-74N 5.45x39 assault rifle	ak-74n_5.45x39_assault_rifle_not_func
AKS-74N 5.45x39 assault rifle	aks-74n_5.45x39_assault_rifle_not_func
AK-104 7.62x39 assault rifle	ak-104_7.62x39_assault_rifle_not_func
HK 416A5 5.56x45 Assault Rifle	hk_416a5_5.56x45_assault_rifle_not_func
SIG MCX .300 AAC Blackout Assault Rifle	sig_mcx_.300_aac_blackout_assault_rifle_not_func
AK-105 5.45x39 assault rifle	ak-105_5.45x39_assault_rifle_not_func
ASh-12 12.7x55 assault rifle	ash-12_12.7x55_assault_rifle_not_func
AK-103 7.62x39 assault rifle	ak-103_7.62x39_assault_rifle_not_func
Kalashnikov AKS-74U 5.45x39	kalashnikov_aks-74u_5.45x39_not_func
Kalashnikov AKS-74UB 5.45x39	kalashnikov_aks-74ub_5.45x39_not_func
AK-74 5.45x39 assault rifle	ak-74_5.45x39_assault_rifle_not_func
AKM 7.62x39 assault rifle	akm_7.62x39_assault_rifle_not_func
AKMN 7.62x39 assault rifle	akmn_7.62x39_assault_rifle_not_func
AKMS 7.62x39 assault rifle	akms_7.62x39_assault_rifle_not_func
AK-101 5.56x45 assault rifle	ak-101_5.56x45_assault_rifle_not_func
AS VAL	as_val_not_func
AKMSN 7.62x39 assault rifle	akmsn_7.62x39_assault_rifle_not_func
Kalashnikov AKS-74UN 5.45x39	kalashnikov_aks-74un_5.45x39_not_func
AK-74M 5.45x39 assault rifle	ak-74m_5.45x39_assault_rifle_not_func
AKS-74 5.45x39 assault rifle	aks-74_5.45x39_assault_rifle_not_func
Mosin bolt-action infantry rifle	mosin_bolt-action_infantry_rifle_not_func
Remington Model 700 Sniper rifle	remington_model_700_sniper_rifle_not_func
Mosin bolt-action sniper rifle	mosin_bolt-action_sniper_rifle_not_func
Molot VPO-215 .366 TKM rifle	molot_vpo-215_.366_tkm_rifle_not_func
Orsis T-5000 .308 sniper rifle	orsis_t-5000_.308_sniper_rifle_not_func
DVL-10 Saboteur sniper rifle	dvl-10_saboteur_sniper_rifle_not_func
SV-98 bolt-action sniper rifle	sv-98_bolt-action_sniper_rifle_not_func
RPK-16 5.45x39 light machine gun	rpk-16_5.45x39_light_machine_gun_not_func
Knight's Armament Company SR-25 7.62x51	knight's_armament_company_sr-25_7.62x51_not_func
SVDS 7.62x54 Sniper rifle	svds_7.62x54_sniper_rifle_not_func
Springfield Armory M1A 7.62x51	springfield_armory_m1a_7.62x51_not_func
Remington R11 RSASS 7.62x51	remington_r11_rsass_7.62x51_not_func
Mk-18 .338 LM marksman rifle	mk-18_.338_lm_marksman_rifle_not_func
Special Sniper Rifle VSS Vintorez	special_sniper_rifle_vss_vintorez_not_func
PM (t) 9x18PM pistol	pm_(t)_9x18pm_pistol_not_func
P226R 9x19 pistol	p226r_9x19_pistol_not_func
Silenced Stechkin Automatic Pistol 9x18PM	silenced_stechkin_automatic_pistol_9x18pm_not_func
Colt M45A1 .45 ACP pistol	colt_m45a1_.45_acp_pistol_not_func
FN Five-seveN MK2 5.7x28 pistol	fn_five-seven_mk2_5.7x28_pistol_not_func
TT pistol 7.62x25 TT Gold	tt_pistol_7.62x25_tt_gold_not_func
FN Five-seveN MK2 5.7x28 pistol	fn_five-seven_mk2_fde_frame_5.7x28_pistol_not_func
Beretta M9A3 9x19 pistol	beretta_m9a3_9x19_pistol_not_func
TT pistol 7.62x25 TT	tt_pistol_7.62x25_tt_not_func
PB 9x18PM silenced pistol	pb_9x18pm_silenced_pistol_not_func
Colt M1911A1 .45 ACP pistol	colt_m1911a1_.45_acp_pistol_not_func
PM 9x18PM pistol	pm_9x18pm_pistol_not_func
Stechkin Automatic Pistol 9x18PM	stechkin_automatic_pistol_9x18pm_not_func
PL-15 9x19 pistol	pl-15_9x19_pistol_not_func
Yarygin MP-443 Grach 9x19 pistol	yarygin_mp-443_grach_9x19_pistol_not_func
GLOCK 18C 9x19 pistol	glock_18c_9x19_pistol_not_func
GLOCK 17 9x19 pistol	glock_17_9x19_pistol_not_func
9x21 Serdyukov automatic pistol SR1MP Gyurza	9x21_serdyukov_automatic_pistol_sr1mp_gyurza_not_func
TOZ-106 bolt-action shotgun	toz-106_bolt-action_shotgun_not_func
Mossberg 590A1 12ga shotgun	mossberg_590a1_12ga_shotgun_not_func
Remington Model 870 12ga shotgun	remington_model_870_12ga_shotgun_not_func
MP-153 12ga semi-automatic shotgun	mp-153_12ga_semi-automatic_shotgun_not_func
MP-133 12ga shotgun	mp-133_12ga_shotgun_not_func
TOZ KS-23M 23x75mm shotgun	toz_ks-23m_23x75mm_shotgun_not_func
76 shotgun	saiga_12ga_ver._10_12_76_shotgun_not_func
B&T MP9 9x19 submachinegun	b&t_mp9_9x19_submachinegun_not_func
Submachinegun PP-19-01 Vityaz-SN 9x19	submachinegun_pp-19-01_vityaz-sn_9x19_not_func
FN P90 5.7x28 submachinegun	fn_p90_5.7x28_submachinegun_not_func
HK MP7A2 4.6x30 submachinegun	hk_mp7a2_4.6x30_submachinegun_not_func
HK MP7A1 4.6x30 submachinegun	hk_mp7a1_4.6x30_submachinegun_not_func
B&T MP9-N 9x19 Submachinegun	b&t_mp9-n_9x19_submachinegun_not_func
STM-9 Gen.2 9x19 carabine	stm-9_gen.2_9x19_carabine_not_func
PP-91 Kedr 9x18PM SMG	pp-91_kedr_9x18pm_smg_not_func
HK UMP 45 submachinegun	hk_ump_45_submachinegun_not_func
HK MP5 9x19 submachinegun (Navy 3 Round Burst)	hk_mp5_9x19_submachinegun_(navy_3_round_burst)_not_func
SIG MPX 9x19 Submachine gun	sig_mpx_9x19_submachine_gun_not_func
PP-91-01 Kedr-B 9x18PM SMG	pp-91-01_kedr-b_9x18pm_smg_not_func
HK MP5 Kurz 9x19 submachinegun	hk_mp5_kurz_9x19_submachinegun_not_func
Saiga-9 9x19 Carbine	saiga-9_9x19_carbine_not_func
Submachinegun PPSH-41 7.62x25	submachinegun_ppsh-41_7.62x25_not_func
TDI KRISS Vector Gen.2 .45 ACP submachinegun	tdi_kriss_vector_gen.2_.45_acp_submachinegun_not_func
TDI Kriss Vector Gen.2 9x19 submachinegun	tdi_kriss_vector_gen.2_9x19_submachinegun_not_func
PP-9 Klin 9x18PMM SMG	pp-9_klin_9x18pmm_smg_not_func
FN GL40 Mk.2 grenade launcher	fn_gl40_mk.2_grenade_launcher_not_func
GP-34 underbarrel grenade launcher	gp-34_underbarrel_grenade_launcher_not_func
LVNDMARK's rat poison	lvndmark's_rat_poison
MK12 Low Profile Gas Block	cmmg_low_profile_gas_block
AAC Blackout 51T 5.56x45 flash-hider	silencerco_asr_51t_5.56x45_flash_hider
GK-02 Muzzle Brake	ar-10_cmmg_sv_brake_7.62x51_muzzle_brake
Zenit DTK-1 7.62x39 & 5.45x39 muzzle brake & compensator for AK	ar-10_surefire_procomp_7.62x51_muzzle_brake
AAC Blackout 51T 5.56x45 flash-hider	silencerco_saker_asr_556_5.56x45_sound_suppressor
VOMZ PILAD Target Ring reflex sight	vomz_pilad_target_ring_reflex_sight
Sig Sauer Romeo 4 reflex sight	sig_sauer_romeo8t_reflex_sight
Scav Raiders	valday_krechet_reflex_sight
Torrey Pines Logic T12W	torrey_pines_logic_t12w_thermal_reflex_sight
MP-155 Ultima thermal camera	mp-155_ultima_thermal_camera
mp-155 ultima underbarrel mount	mp-155_ultima_underbarrel_mount
mp-155 ultima pistol grip rubber pad	mp-155_ultima_pistol_grip_rubber_pad
KAC Ambidextrous Charging Handle for AR-10	mk47_ambidextrous_charging_handle
мp-155 6-round magazine extension	мp-155_6-round_magazine_extension
Axion Cobra mount	vpo-102_arbalet_mount
mp-155 ultima top rail	mp-155_ultima_top_rail
AKM 7.62x39 assault rifle	custom_guns_rail_guide
mp-155 ultima short rail	mp-155_ultima_short_rail
Weapons	cmmg_ripstock_buttstock
SI Advanced receiver extension buffer tube	cmmg_buffer_tube
mp-155 walnut stock	mp-155_walnut_stock
mp-155 ultima polymer stock	mp-155_ultima_polymer_stock
ProMag Archangel OPFOR PRS Mosin rifle stock	akm_ak-74_promag_archangel_opfor_aa47_buttstock
mp-155 ultima large recoil pad	mp-155_ultima_large_recoil_pad
mp-155 ultima medium recoil pad	mp-155_ultima_medium_recoil_pad
mp-155 ultima small recoil pad	mp-155_ultima_small_recoil_pad
MP-155 510mm barrel	mp-155_510mm_barrel
Weapons	mk47_254mm_barrel
Weapons	mk47_409mm_barrel
76 shotgun	sok-12_custom_guns_type-340_handguard
Weapon box (6x3)	ar-10_cmmg_mk3_rml15_15_inch_m-lok_handguard
Weapon box (6x3)	ar-10_cmmg_mk3_rml9_9_inch_m-lok_handguard
Barter trades	ar-15_unique-ars_wing_&_skull_12_inch_handguard
mp-155 walnut forestock	mp-155_walnut_forestock
mp-155 ultima polymer stock	mp-155_ultima_polymer_stock
Remington Model 700 Sniper rifle	ak_custom_arms_ags-74_pro_ _sniper_kit_pistol_grip
mp-155 ultima pistol grip	mp-155_ultima_pistol_grip
Scav Raiders	mk47_resolute_7.62x39_upper_receiver
Mystery Ranch Blackjack 50 backpack (multicam)	mystery_ranch_terraplane_backpack
Hazard4 Pillbox backpack	hazard4_pillbox_backpack
Hazard 4 Drawbridge backpack	hazard_4_drawbridge_backpack
Waist pouch	waist_pouch
Stich Profi Chest Rig MK2 (Recon, A-TACS FG)	stich_profi_chest_rig_mk2_(recon,_a-tacs_fg)
Stich Profi Chest Rig MK2 (Assault, A-TACS FG)	stich_profi_chest_rig_mk2_(assault,_a-tacs_fg)
Crye Precision AVS MBAV (Tagilla Edition)	crye_precision_avs_mbav_(tagilla_edition)
CQC Osprey MK4A plate carrier (Assault, MTP)	cqc_osprey_mk4a_plate_carrier_(assault,_mtp)
CQC Osprey MK4A plate carrier (Protection, MTP)	cqc_osprey_mk4a_plate_carrier_(protection,_mtp)
WZ Wallet	wz_wallet
Weapons	cmmg_mk47_mutant_7.62x39_assault_rifle
MP-155 12ga semi-automatic shotgun	mp-155_12ga_semi-automatic_shotgun
Evasion armband	evasion_armband
NFM THOR Concealable Vest body armor	nfm_thor_concealable_vest_body_armor
NFM THOR Concealable Vest body armor	nfm_thor_integrated_carrier_body_armor
Tagilla's welding mask "Gorilla"	tagilla's_welding_mask_gorilla
Tagilla's welding mask "UBEY"	tagilla's_welding_mask_ubey
Sanitar	boss_cap
Kotton beanie	bomber_beanie
Stich Profi Chimera boonie hat	stich_profi_chimera_boonie_hat
Can of RatCola	can_of_ratcola
Superfors DB 2020 Dead Blow Hammer	superfors_db_2020_dead_blow_hammer
Loot Lord plushie	loot_lord_plushie
